Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/2014,6559,9.254,95971,268,10
1/2/2014,9334,11.736,96000,66,3
1/3/2014,1288,1.855,96042,1,1
1/4/2014,2494,3.706,96065,14,1
1/5/2014,2937,3.72,96084,17,4
1/6/2014,10481,13.016,96102,30,7
1/7/2014,7144,8.2,96124,5,4
1/8/2014,10162,11.768,96152,28,4
1/9/2014,14571,18.401,96171,74,10
1/10/2014,10685,13.433,96189,49,5
1/11/2014,8333,10.735,96225,101,16
1/12/2014,13549,19.141,96247,350,22
1/13/2014,22377,30.829,96276,224,31
1/14/2014,10849,13.271,96348,45,4
1/15/2014,23500,32.303,96391,241,30
1/16/2014,21528,28.807,96453,208,37
1/17/2014,21840,30.773,96509,282,34
1/18/2014,10222,14.596,96576,176,15
1/19/2014,9768,13.591,96616,194,13
1/20/2014,14581,20.103,96654,133,11
1/21/2014,4171,5.429,96701,5,1
1/22/2014,2762,4.061,96733,4,3
1/23/2014,5743,8.336,96741,9,1
1/24/2014,6901,9.375,96757,15,6
1/25/2014,4716,6.004,96770,34,0
1/26/2014,5462,6.691,96784,37,6
1/27/2014,14304,18.127,96804,55,18
1/28/2014,11066,13.722,96830,18,7
1/29/2014,10838,13.394,96852,21,6
1/30/2014,13198,16.914,96885,42,7
1/31/2014,15886,21.541,96912,130,10
2/1/2014,13797,20.707,96935,349,29
2/2/2014,15009,22.915,96958,449,10
2/3/2014,2839,3.635,96998,4,2
2/4/2014,9551,12.708,97025,37,2
2/5/2014,3076,4.603,97046,8,1
2/6/2014,8227,12.641,97061,25,9
2/7/2014,9473,14.206,97082,36,5
2/8/2014,6640,9.563,97094,71,1
2/9/2014,5527,7.806,97109,47,6
2/10/2014,7643,10.867,97128,16,3
2/11/2014,9258,12.57,97154,22,4
2/12/2014,9531,12.691,97174,24,3
2/13/2014,978,1.725,97184,3,1
2/14/2014,4029,6.586,97191,16,8
2/15/2014,2512,3.834,97205,23,2
2/16/2014,3362,5.063,97221,34,2
2/17/2014,5433,8.226,97233,40,10
2/18/2014,5727,8.393,97243,19,2
2/19/2014,9485,14.086,97262,45,6
2/20/2014,12971,18.707,97280,103,11
2/21/2014,9545,12.423,97307,59,8
2/22/2014,14261,25.945,97341,730,31
2/23/2014,14567,25.298,97379,666,35
2/24/2014,14119,19.238,97435,79,10
2/25/2014,14003,17.699,97511,50,14
2/26/2014,12168,15.039,97556,35,7
2/27/2014,13138,16.042,97584,54,10
2/28/2014,10483,13.017,97612,46,12
3/1/2014,9944,14.364,97650,255,11
3/2/2014,9017,12.288,97687,196,12
3/3/2014,8618,12.02,97727,44,3
3/4/2014,11494,14.473,97768,36,11
3/5/2014,14934,19.147,97807,90,13
3/6/2014,13758,17.12,97869,50,7
3/7/2014,14736,19.809,97907,108,10
3/8/2014,18119,34.814,97970,1211,46
3/9/2014,13300,20.468,98052,496,32
3/10/2014,18844,25.777,98146,206,30
3/11/2014,26436,41.688,98261,574,66
3/12/2014,16273,21.803,98448,153,21
3/13/2014,12164,15.663,98572,55,7
3/14/2014,17745,23.539,98639,209,14
3/15/2014,19664,35.302,98716,1316,54
3/16/2014,10740,16.054,98827,274,31
3/17/2014,13681,17.722,98904,106,19
3/18/2014,18046,24.985,98995,181,30
3/19/2014,14387,19.079,99082,87,19
3/20/2014,21299,31.018,99160,292,36
3/21/2014,22266,33.189,99280,386,26
3/22/2014,21671,42.206,99429,1525,55
3/23/2014,12846,19.105,99563,451,19
3/24/2014,14729,18.838,99678,105,20
3/25/2014,17388,22.135,99762,108,19
3/26/2014,15538,19.368,99841,91,16
3/27/2014,18166,25.302,99913,164,17
3/28/2014,20025,29.858,99991,255,29
3/29/2014,4870,6.546,100072,142,0
3/30/2014,8645,13.365,100127,209,15
3/31/2014,18686,26.78,100220,276,47
1/1/2015,5792,9191,127279,267,11
1/2/2015,12371,18222,127293,298,8
1/3/2015,4834,6282,127300,96,7
1/4/2015,8509,11700,127308,152,5
1/5/2015,15792,20022,127336,88,12
1/6/2015,9483,12003,127354,2,1
1/7/2015,10685,12791,127363,5,1
1/8/2015,9777,11667,127372,18,0
1/9/2015,8631,11093,127376,16,2
1/10/2015,6826,8189,127383,51,3
1/11/2015,8204,10199,127395,68,8
1/12/2015,9441,11589,127408,27,2
1/13/2015,14134,17429,127418,23,10
1/14/2015,14396,18105,127427,43,7
1/15/2015,15463,19803,127434,64,8
1/16/2015,15059,19084,127441,94,14
1/17/2015,8243,10818,127453,152,3
1/18/2015,2038,2435,127461,12,0
1/19/2015,11913,15733,127470,124,11
1/20/2015,17615,22740,127502,93,9
1/21/2015,16734,21228,127520,67,16
1/22/2015,17435,22630,127530,74,9
1/23/2015,17080,22248,127545,95,14
1/24/2015,5275,6723,127552,41,2
1/25/2015,10235,14421,127559,202,4
1/26/2015,4537,5979,127566,15,0
1/27/2015,1405,2343,127569,36,1
1/28/2015,6223,9907,127575,12,2
1/29/2015,9845,14171,127586,31,3
1/30/2015,9943,12945,127595,21,6
1/31/2015,5752,7328,127596,38,2
2/1/2015,7214,9186,127608,72,8
2/2/2015,1686,2635,127608,6,0
2/3/2015,5443,7816,127612,5,1
2/4/2015,9854,13775,127624,27,1
2/5/2015,9977,12607,127630,13,1
2/6/2015,9334,11948,127635,26,4
2/7/2015,7346,10045,127640,83,7
2/8/2015,7180,9671,127642,65,7
2/9/2015,5717,7234,127646,10,3
2/10/2015,11289,14526,127652,36,5
2/11/2015,12453,16204,127657,46,12
2/12/2015,12651,16248,127667,45,4
2/13/2015,8595,10773,127674,28,2
2/14/2015,5124,6392,127678,54,2
2/15/2015,2837,3289,127681,12,0
2/16/2015,4500,5423,127682,19,2
2/17/2015,5289,6869,127683,14,2
2/18/2015,10001,12995,127693,35,6
2/19/2015,8485,10080,127696,14,0
2/20/2015,6825,8056,127700,14,3
2/21/2015,3453,4164,127701,24,5
2/22/2015,4654,6648,127706,55,4
2/23/2015,8343,10519,127714,11,8
2/24/2015,8483,10675,127729,12,1
2/25/2015,12057,15655,127739,49,5
2/26/2015,11047,14744,127747,26,7
2/27/2015,10861,14313,127753,57,10
2/28/2015,6836,8975,127754,71,3
3/1/2015,3169,4042,127763,37,4
3/2/2015,8019,10767,127770,27,3
3/3/2015,7178,9430,127775,18,2
3/4/2015,8265,10842,127779,28,4
3/5/2015,1821,2604,127784,4,0
3/6/2015,5953,8248,127792,19,6
3/7/2015,6255,8849,127799,96,9
3/8/2015,8711,13701,127819,245,16
3/9/2015,16365,24159,127852,218,24
3/10/2015,13080,17626,127886,126,17
3/11/2015,21728,33446,127936,386,29
3/12/2015,19246,26931,127977,195,22
3/13/2015,17850,24699,128023,239,27
3/14/2015,4302,5592,128041,60,5
3/15/2015,9676,13635,128071,260,31
3/16/2015,18476,26091,128108,273,35
3/17/2015,16287,22462,128143,178,21
3/18/2015,15050,11465,128169,110,15
3/19/2015,16699,16176,128191,150,14
3/20/2015,8786,11465,128204,58,6
3/21/2015,10236,16176,128216,367,23
3/22/2015,10638,16098,128249,381,10
3/23/2015,14669,18957,128287,111,25
3/24/2015,17532,23581,128313,168,34
3/25/2015,15851,21456,128347,136,22
3/26/2015,16193,22876,128385,125,25
3/27/2015,15433,21520,128417,188,19
3/28/2015,1255,1562,128431,10,2
3/29/2015,10585,17373,128485,473,27
3/30/2015,19250,26828,128527,244,53
3/31/2015,15199,20532,128576,122,38
1/1/2016,11009,24429,159362,919,51
1/2/2016,14587,29093,159403,877,34
1/3/2016,15499,29616,159459,784,27
1/4/2016,19593,36172,159502,166,33
1/5/2016,18053,32049,159534,121,22
1/6/2016,24569,40996,159564,265,27
1/7/2016,27773,45986,159588,318,24
1/8/2016,28709,47061,159621,364,28
1/9/2016,20846,37341,159654,632,20
1/10/2016,14275,25404,159682,391,18
1/11/2016,22937,37393,159731,155,32
1/12/2016,25211,38958,159761,151,23
